,CompanyName,Year,Discontinued_Product,ParentCompany,MarketCapital Change
0,Bath & Body Works,2007,11,L Brands,-0.431547619
1,Victoria's Secret Beauty,2007,169,L Brands,-0.431547619
2,Bath & Body Works,2008,11,L Brands,-0.49602618
3,Victoria's Secret Beauty,2008,157,L Brands,-0.49602618
4,Bath & Body Works,2009,187,L Brands,0.794270833
5,Victoria's Secret Beauty,2009,185,L Brands,0.794270833
6,Bath & Body Works,2010,76,L Brands,0.5928009
7,Victoria's Secret Beauty,2010,204,L Brands,0.5928009
8,Bath & Body Works,2011,172,L Brands,0.208202849
9,Victoria's Secret Beauty,2011,216,L Brands,0.208202849
10,Bath & Body Works,2012,84,L Brands,0.169827586
11,Victoria's Secret Beauty,2012,223,L Brands,0.169827586
12,Bath & Body Works,2013,22,L Brands,0.313094367
13,Victoria's Secret Beauty,2013,22,L Brands,0.313094367
14,GUERLAIN,2009,4,Estée Lauder Cos.,0.487211478
15,Smashbox Cosmetics,2009,1,Estée Lauder Cos.,0.487211478
16,GUERLAIN,2010,11,Estée Lauder Cos.,0.663358061
17,GUERLAIN,2011,9,Estée Lauder Cos.,0.36294896
18,GUERLAIN,2012,16,Estée Lauder Cos.,0.06287287700000001
19,GUERLAIN,2013,52,Estée Lauder Cos.,0.237611182
20,GUERLAIN,2014,31,Estée Lauder Cos.,0.009440559
21,GUERLAIN,2015,106,Estée Lauder Cos.,0.135824022
22,GUERLAIN,2016,221,Estée Lauder Cos.,-0.129773362
23,GUERLAIN,2017,18,Estée Lauder Cos.,0.654892264
24,Too Faced Cosmetics,2017,186,Estée Lauder Cos.,0.654892264
25,New Avon LLC,2009,29,Avon,0.258878505
26,New Avon LLC,2010,69,Avon,-0.091041515
27,New Avon LLC,2011,70,Avon,-0.414319066
28,New Avon LLC,2012,30,Avon,-0.186525102
29,New Avon LLC,2013,4,Avon,0.150246305
30,New Avon LLC,2015,1,Avon,-0.564121572
31,"Shiseido Co., Ltd.",2012,2,"Shiseido Co., Ltd.",-0.243856333
32,"Shiseido Co., Ltd.",2014,204,"Shiseido Co., Ltd.",-0.118601355
33,The Procter & Gamble Company,2008,38,The Procter & Gamble Company,-0.185817643
34,The Procter & Gamble Company,2009,122,The Procter & Gamble Company,-0.043192437
35,The Procter & Gamble Company,2010,165,The Procter & Gamble Company,0.014870726
36,The Procter & Gamble Company,2011,111,The Procter & Gamble Company,0.011741359
37,The Procter & Gamble Company,2012,25,The Procter & Gamble Company,0.0074424159999999994
38,The Procter & Gamble Company,2013,114,The Procter & Gamble Company,0.164547613
39,The Procter & Gamble Company,2014,209,The Procter & Gamble Company,0.126430992
40,The Procter & Gamble Company,2015,97,The Procter & Gamble Company,-0.120624002
41,The Procter & Gamble Company,2016,1549,The Procter & Gamble Company,0.061521042000000005
42,The Procter & Gamble Company,2017,424,The Procter & Gamble Company,0.082876521
